Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kommentar (optional),Kontextadresse,Kommentar (optional)
Franziskanerkloster Graz,A-Gf_A63_51-018r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23CE-D@format=tif,A-Gf_A63_51-018r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-018r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-018r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-018v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23CF-C@format=tif,A-Gf_A63_51-018v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-018v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-018v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-019r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D0-9@format=tif,A-Gf_A63_51-019r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-019r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-019r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-019v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D1-8@format=tif,A-Gf_A63_51-019v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-019v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-019v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-020r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D2-7@format=tif,A-Gf_A63_51-020r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-020r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-020r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-020v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D3-6@format=tif,A-Gf_A63_51-020v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-020v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-020v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-021r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D4-5@format=tif,A-Gf_A63_51-021r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-021r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-021r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-021v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D5-4@format=tif,A-Gf_A63_51-021v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-021v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-021v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-022r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D6-3@format=tif,A-Gf_A63_51-022r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-022r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-022r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-022v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D7-2@format=tif,A-Gf_A63_51-022v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-022v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-022v.tif,
